name,quality_score,deployable,has_dockerfile,has_tests,size_mb,file_count,has_readme,has_license
a-889354,40,False,False,False,1.25,133,True,False
accomplish,90,True,True,False,23.05,851,True,True
acidlink_ai-navigator-hub,90,True,True,False,1.67,241,True,True
acidlink_ai-research-monitor,65,False,False,False,1.34,208,True,True
acidlink_ai-voice-agency,90,True,True,False,1.47,201,True,True
acidlink_aicodeecoemerg,75,False,False,True,0.46,156,True,True
acidlink_apple-bug-bounty-profit-platform,65,False,False,False,1.44,189,True,True
acidlink_beat-clone,65,False,False,False,3.88,291,True,True
acidlink_cladstudioemerg,75,False,False,True,0.5,150,True,True
acidlink_clone-screenshot--chatgpt,65,False,False,False,1.49,217,True,True
acidlink_cosmic-craft-core,65,False,False,False,1.75,201,True,True
acidlink_drive-doctor-dash,65,False,False,False,1.51,210,True,True
acidlink_earn-big-now,65,False,False,False,1.45,215,True,True
acidlink_engage-nexus-metrics,65,False,False,False,1.34,181,True,True
acidlink_kamakaze-jarvis-inspired-ai-assistant,65,False,False,False,1.31,171,True,True
acidlink_kamakaze-jarvis-inspired-ai-assistant-1,65,False,False,False,1.45,172,True,True
acidlink_kamikaze-ai-buddy,90,True,True,False,1.34,180,True,True
acidlink_monetization-idea-generator,65,False,False,False,1.07,147,True,True
acidlink_nexus-farm-engine,65,False,False,False,1.33,197,True,True
acidlink_oz-hack-emporium,65,False,False,False,3.99,229,True,True
acidlink_perplexity-ai-clone,65,False,False,False,1.11,164,True,True
acidlink_perplexity-ai-clone-1,65,False,False,False,1.22,189,True,True
acidlink_project-hub,65,False,False,False,1.39,177,True,True
acidlink_remix-of-cosmic-craft-core,65,False,False,False,1.6,176,True,True
acidlink_roundabout-creator-platform,65,False,False,False,1.1,170,True,True
acidlink_v0-ai-assistant-framework,100,True,True,True,1.46,296,True,True
acidlink_v0-ai-ops-mission-control,100,True,True,True,2.33,248,True,True
acidlink_v0-api-key-manager,75,False,False,True,1.04,216,True,True
acidlink_vibecloneemergent,75,False,False,True,0.41,149,True,True
adk-rag-agent,65,False,False,False,0.08,67,True,True
aether-flow-orchestrator,75,True,True,False,1.18,195,True,False
affiliate-ai-platform,10,False,False,False,0.03,27,False,False
agent-nexus,40,False,False,False,1.25,177,True,False
agent-orchestrator,40,False,False,False,1.66,219,True,False
agent-zero,10,False,False,False,1.55,44,False,False
agenticSeek,75,False,False,True,16.82,198,True,True
agentive-ai-discovery-board,65,True,True,False,1.96,288,True,False
agents,65,False,False,False,0.22,114,True,True
ai,90,True,True,False,11.43,2100,True,True
ai-browser-playground-hub,65,True,True,False,1.5,211,True,False
ai-browser-playground-nexus,40,False,False,False,1.41,184,True,False
ai-business-platform,90,True,True,False,255.27,1704,True,True
ai-coder-hub,40,False,False,False,1.41,199,True,False
ai-coder-s-compass,40,False,False,False,1.43,195,True,False
ai-command-center,40,False,False,False,1.37,170,True,False
ai-command-center-nexus,40,False,False,False,1.73,218,True,False
ai-command-center-nexus-22,75,True,True,True,2.22,319,True,False
ai-crypto-ecosystem-complete,10,False,False,False,0.03,27,False,False
ai-crypto-trading--monitoring,40,False,False,False,1.2,182,True,False
ai-crypto-trading-ecosystem-complete,55,False,False,False,0.43,66,True,True
ai-deal-seeker-pro,40,False,False,False,2.06,237,True,False
ai-deals-master,40,False,False,False,1.85,209,True,False
ai-deals-nexus,40,False,False,False,1.03,184,True,False
ai-deals-oasis,75,True,True,True,1.61,282,True,False
ai-dev-command,65,True,True,False,1.49,199,True,False
ai-dev-command-1,40,False,False,False,2.18,226,True,False
ai-dev-command-41725,40,False,False,False,1.39,167,True,False
ai-dev-command-clone,50,False,False,True,1.44,252,True,False
ai-dev-flow-41,40,False,False,False,1.02,150,True,False
ai-dev-platform,40,False,False,False,1.24,199,True,False
